opisto_id,Opisto category name,Opisto part category links,Ovoko part ID,Part position Position
122,Amortisseur avant droit,https://www.opisto.fr/fr/auto/pieces-occasion/Amortisseur-avant-droit/toutes-marques/page-1,,1800,90
123,Amortisseur arriere gauche,https://www.opisto.fr/fr/auto/pieces-occasion/Amortisseur-arriere-gauche/toutes-marques/page-1,,384,60
124,Amortisseur arriere droit,https://www.opisto.fr/fr/auto/pieces-occasion/Amortisseur-arriere-droit/toutes-marques/page-1,,384,70
125,Bras inferieur avant gauche,https://www.opisto.fr/fr/auto/pieces-occasion/Bras-inferieur-avant-gauche/toutes-marques/page-1,,369,80
126,Bras inferieur avant droit,https://www.opisto.fr/fr/auto/pieces-occasion/Bras-inferieur-avant-droit/toutes-marques/page-1,,369,90
129,Berceau avant,https://www.opisto.fr/fr/auto/pieces-occasion/Berceau-avant/toutes-marques/page-1,,348,
130,Essieu arriere,https://www.opisto.fr/fr/auto/pieces-occasion/Essieu-arriere/toutes-marques/page-1,,388,
131,Disque avant gauche (freinage),https://www.opisto.fr/fr/auto/pieces-occasion/Disque-avant-gauche-(freinage)/toutes-marques/page-1,,552,80
132,Disque avant droit (freinage),https://www.opisto.fr/fr/auto/pieces-occasion/Disque-avant-droit-(freinage)/toutes-marques/page-1,,552,90
133,Disque arriere gauche (freinage),https://www.opisto.fr/fr/auto/pieces-occasion/Disque-arriere-gauche-(freinage)/toutes-marques/page-1,,554,60
134,Disque arriere droit (freinage),https://www.opisto.fr/fr/auto/pieces-occasion/Disque-arriere-droit-(freinage)/toutes-marques/page-1,,554,70
137,Tambour arriere gauche,https://www.opisto.fr/fr/auto/pieces-occasion/Tambour-arriere-gauche/toutes-marques/page-1,,56,60
138,Tambour arriere droit,https://www.opisto.fr/fr/auto/pieces-occasion/Tambour-arriere-droit/toutes-marques/page-1,,56,70
139,Etrier avant gauche (freinage),https://www.opisto.fr/fr/auto/pieces-occasion/Etrier-avant-gauche-(freinage)/toutes-marques/page-1,,75,80
140,Etrier avant droit (freinage),https://www.opisto.fr/fr/auto/pieces-occasion/Etrier-avant-droit-(freinage)/toutes-marques/page-1,,75,90
141,Etrier arriere gauche (freinage),https://www.opisto.fr/fr/auto/pieces-occasion/Etrier-arriere-gauche-(freinage)/toutes-marques/page-1,,553,60
142,Etrier arriere droit (freinage),https://www.opisto.fr/fr/auto/pieces-occasion/Etrier-arriere-droit-(freinage)/toutes-marques/page-1,,553,70
143,Servo frein avant,https://www.opisto.fr/fr/auto/pieces-occasion/Servo-frein-avant/toutes-marques/page-1,,51,
144,Servo frein arriere,https://www.opisto.fr/fr/auto/pieces-occasion/Servo-frein-arriere/toutes-marques/page-1,,51,110
145,Repartiteur de freinage,https://www.opisto.fr/fr/auto/pieces-occasion/Repartiteur-de-freinage/toutes-marques/page-1,,54,
146,Maitre cylindre (freinage),https://www.opisto.fr/fr/auto/pieces-occasion/Maitre-cylindre-(freinage)/toutes-marques/page-1,,50,
147,Bloc ABS (freins anti-blocage),https://www.opisto.fr/fr/auto/pieces-occasion/Bloc-ABS-(freins-anti-blocage)/toutes-marques/page-1,,42,
148,Module d'allumage (allumage),https://www.opisto.fr/fr/auto/pieces-occasion/Module-d'allumage-(allumage)/toutes-marques/page-1,,1507,
149,Bobine (allumage),https://www.opisto.fr/fr/auto/pieces-occasion/Bobine-(allumage)/toutes-marques/page-1,,1300,
150,Faisceau (allumage),https://www.opisto.fr/fr/auto/pieces-occasion/Faisceau-(allumage)/toutes-marques/page-1,,1465,
151,Anti brouillard gauche (feux),https://www.opisto.fr/fr/auto/pieces-occasion/Anti-brouillard-gauche-(feux)/toutes-marques/page-1,,173,80
153,Armature avant;Masque avant,https://www.opisto.fr/fr/auto/pieces-occasion/Armature-avant;Masque-avant/toutes-marques/page-1,,no category on Ovoko,
156,Catalyseur (echappement),https://www.opisto.fr/fr/auto/pieces-occasion/Catalyseur-(echappement)/toutes-marques/page-1,,1407,
157,Ceinture arriere droit,https://www.opisto.fr/fr/auto/pieces-occasion/Ceinture-arriere-droit/toutes-marques/page-1,,901,70
158,Ceinture avant gauche,https://www.opisto.fr/fr/auto/pieces-occasion/Ceinture-avant-gauche/toutes-marques/page-1,,902,80
159,Collecteur d'echappement,https://www.opisto.fr/fr/auto/pieces-occasion/Collecteur-d'echappement/toutes-marques/page-1,,1329,
160,Cremaillere mecanique,https://www.opisto.fr/fr/auto/pieces-occasion/Cremaillere-mecanique/toutes-marques/page-1,,333,
161,Debitmetre,https://www.opisto.fr/fr/auto/pieces-occasion/Debitmetre/toutes-marques/page-1,,296,
162,Feu arriere secondaire droit (feux),https://www.opisto.fr/fr/auto/pieces-occasion/Feu-arriere-secondaire-droit-(feux)/toutes-marques/page-1,,155,70
163,Feu arriere secondaire gauche (feux),https://www.opisto.fr/fr/auto/pieces-occasion/Feu-arriere-secondaire-gauche-(feux)/toutes-marques/page-1,,155,60
164,Injecteurs Common rail,https://www.opisto.fr/fr/auto/pieces-occasion/Injecteurs-Common-rail/toutes-marques/page-1,,320,
165,Jante,https://www.opisto.fr/fr/auto/pieces-occasion/Jante/toutes-marques/page-1,,Opisto one option in Ovoko more options,
166,Jante,https://www.opisto.fr/fr/auto/pieces-occasion/Jante/toutes-marques/page-1,,Opisto one option in Ovoko more options,
168,Jante,https://www.opisto.fr/fr/auto/pieces-occasion/Jante/toutes-marques/page-1,,Opisto one option in Ovoko more options,
169,Jante,https://www.opisto.fr/fr/auto/pieces-occasion/Jante/toutes-marques/page-1,,Opisto one option in Ovoko more options,
170,Moyeu avant gauche,https://www.opisto.fr/fr/auto/pieces-occasion/Moyeu-avant-gauche/toutes-marques/page-1,,359,80
171,Optique avant secondaire droit (feux)(clignotant),https://www.opisto.fr/fr/auto/pieces-occasion/Optique-avant-secondaire-droit-(feux)(clignotant)/toutes-marques/page-1,,184,40
172,Optique avant secondaire gauche (feux)(clignotant),https://www.opisto.fr/fr/auto/pieces-occasion/Optique-avant-secondaire-gauche-(feux)(clignotant)/toutes-marques/page-1,,184,20
174,Pare choc avant,https://www.opisto.fr/fr/auto/pieces-occasion/Pare-choc-avant/toutes-marques/page-1,,504,
175,Pretensionneur de ceinture avant gauche,https://www.opisto.fr/fr/auto/pieces-occasion/Pretensionneur-de-ceinture-avant-gauche/toutes-marques/page-1,,no category on Ovoko,80
176,Repetiteur clignotant avant droit (Feux),https://www.opisto.fr/fr/auto/pieces-occasion/Repetiteur-clignotant-avant-droit-(Feux)/toutes-marques/page-1,,Opisto one option in Ovoko more options,
177,Repetiteur clignotant avant gauche (Feux),https://www.opisto.fr/fr/auto/pieces-occasion/Repetiteur-clignotant-avant-gauche-(Feux)/toutes-marques/page-1,,Opisto one option in Ovoko more options,
178,Siege arriere droit,https://www.opisto.fr/fr/auto/pieces-occasion/Siege-arriere-droit/toutes-marques/page-1,,994,70
179,Siege arriere gauche,https://www.opisto.fr/fr/auto/pieces-occasion/Siege-arriere-gauche/toutes-marques/page-1,,994,60
180,Silencieux arriere (echappement),https://www.opisto.fr/fr/auto/pieces-occasion/Silencieux-arriere-(echappement)/toutes-marques/page-1,,1332,
181,Silencieux avant (echappement),https://www.opisto.fr/fr/auto/pieces-occasion/Silencieux-avant-(echappement)/toutes-marques/page-1,,1330,
182,Silencieux intermediaire (echappement),https://www.opisto.fr/fr/auto/pieces-occasion/Silencieux-intermediaire-(echappement)/toutes-marques/page-1,,1331,
183,Sonde lambda,https://www.opisto.fr/fr/auto/pieces-occasion/Sonde-lambda/toutes-marques/page-1,,1406,
184,Capot,https://www.opisto.fr/fr/auto/pieces-occasion/Capot/toutes-marques/page-1,,519,
185,Barres de toit,https://www.opisto.fr/fr/auto/pieces-occasion/Barres-de-toit/toutes-marques/page-1,,1509,
186,Pneu,https://www.opisto.fr/fr/auto/pieces-occasion/Pneu/toutes-marques/page-1,,Opisto one option in Ovoko more options,
188,Pneu,https://www.opisto.fr/fr/auto/pieces-occasion/Pneu/toutes-marques/page-1,,Opisto one option in Ovoko more options,
190,Pretensionneur de ceinture arriere gauche,https://www.opisto.fr/fr/auto/pieces-occasion/Pretensionneur-de-ceinture-arriere-gauche/toutes-marques/page-1,,898,60
191,Pretensionneur de ceinture arriere droit,https://www.opisto.fr/fr/auto/pieces-occasion/Pretensionneur-de-ceinture-arriere-droit/toutes-marques/page-1,,898,70
192,Pneu,https://www.opisto.fr/fr/auto/pieces-occasion/Pneu/toutes-marques/page-1,,Opisto one option in Ovoko more options,
193,Pneu,https://www.opisto.fr/fr/auto/pieces-occasion/Pneu/toutes-marques/page-1,,Opisto one option in Ovoko more options,
194,Pneu,https://www.opisto.fr/fr/auto/pieces-occasion/Pneu/toutes-marques/page-1,,Opisto one option in Ovoko more options,
196,Condenseur de clim,https://www.opisto.fr/fr/auto/pieces-occasion/Condenseur-de-clim/toutes-marques/page-1,,205,
198,Pompe à injection,https://www.opisto.fr/fr/auto/pieces-occasion/Pompe-à-injection/toutes-marques/page-1,,316,
199,Eclairage de plafonnier,https://www.opisto.fr/fr/auto/pieces-occasion/Eclairage-de-plafonnier/toutes-marques/page-1,,Opisto one option in Ovoko more options,
202,Retroviseur interieur,https://www.opisto.fr/fr/auto/pieces-occasion/Retroviseur-interieur/toutes-marques/page-1,,1524,
203,Boitier de prechauffage,https://www.opisto.fr/fr/auto/pieces-occasion/Boitier-de-prechauffage/toutes-marques/page-1,,1090,
205,Vase d'expansion,https://www.opisto.fr/fr/auto/pieces-occasion/Vase-d'expansion/toutes-marques/page-1,,229,
207,Mastervac,https://www.opisto.fr/fr/auto/pieces-occasion/Mastervac/toutes-marques/page-1,,51,
208,Vase de lave glace,https://www.opisto.fr/fr/auto/pieces-occasion/Vase-de-lave-glace/toutes-marques/page-1,,130,
209,Boitier BSI,https://www.opisto.fr/fr/auto/pieces-occasion/Boitier-BSI/toutes-marques/page-1,,1914,
210,Biellette,https://www.opisto.fr/fr/auto/pieces-occasion/Biellette/toutes-marques/page-1,,364,
211,Platine feu arriere gauche,https://www.opisto.fr/fr/auto/pieces-occasion/Platine-feu-arriere-gauche/toutes-marques/page-1,,1957,60
212,Commodo phare,https://www.opisto.fr/fr/auto/pieces-occasion/Commodo-phare/toutes-marques/page-1,,1417,
214,Commodo d'essuie glaces,https://www.opisto.fr/fr/auto/pieces-occasion/Commodo-d'essuie-glaces/toutes-marques/page-1,,1489,
215,Cable levier de vitesses,https://www.opisto.fr/fr/auto/pieces-occasion/Cable-levier-de-vitesses/toutes-marques/page-1,,423,
216,Relais de prechauffage,https://www.opisto.fr/fr/auto/pieces-occasion/Relais-de-prechauffage/toutes-marques/page-1,,1090,
218,Triangle avant gauche,https://www.opisto.fr/fr/auto/pieces-occasion/Triangle-avant-gauche/toutes-marques/page-1,,370,80
219,Triangle avant droit,https://www.opisto.fr/fr/auto/pieces-occasion/Triangle-avant-droit/toutes-marques/page-1,,370,90
1212,Carter inferieur,https://www.opisto.fr/fr/auto/pieces-occasion/Carter-inferieur/toutes-marques/page-1,,266,
1213,Resistance chauffage,https://www.opisto.fr/fr/auto/pieces-occasion/Resistance-chauffage/toutes-marques/page-1,,213,
2475,Toit hardtop,https://www.opisto.fr/fr/auto/pieces-occasion/Toit-hardtop/toutes-marques/page-1,,1520,
2478,Tablier,https://www.opisto.fr/fr/auto/pieces-occasion/Tablier/toutes-marques/page-1,,no category on Ovoko,
2479,Benne arriere,https://www.opisto.fr/fr/auto/pieces-occasion/Benne-arriere/toutes-marques/page-1,,1114,
2480,Pare buffle,https://www.opisto.fr/fr/auto/pieces-occasion/Pare-buffle/toutes-marques/page-1,,1860,
2483,Coffre à batterie,https://www.opisto.fr/fr/auto/pieces-occasion/Coffre-à-batterie/toutes-marques/page-1,,1243,
2484,Vitre custode toit,https://www.opisto.fr/fr/auto/pieces-occasion/Vitre-custode-toit/toutes-marques/page-1,,2029,
2485,Pompe à eau,https://www.opisto.fr/fr/auto/pieces-occasion/Pompe-à-eau/toutes-marques/page-1,,220,
2486,Poulie damper,https://www.opisto.fr/fr/auto/pieces-occasion/Poulie-damper/toutes-marques/page-1,,271,
2487,Volant moteur,https://www.opisto.fr/fr/auto/pieces-occasion/Volant-moteur/toutes-marques/page-1,,437,
2488,Vilebrequin,https://www.opisto.fr/fr/auto/pieces-occasion/Vilebrequin/toutes-marques/page-1,,262,
2489,Bielle,https://www.opisto.fr/fr/auto/pieces-occasion/Bielle/toutes-marques/page-1,,1459,
2490,Piston,https://www.opisto.fr/fr/auto/pieces-occasion/Piston/toutes-marques/page-1,,267,
2491,Collecteur d'admission,https://www.opisto.fr/fr/auto/pieces-occasion/Collecteur-d'admission/toutes-marques/page-1,,288,
2492,Carter de distribution arriere,https://www.opisto.fr/fr/auto/pieces-occasion/Carter-de-distribution-arriere/toutes-marques/page-1,,Opisto one option in Ovoko more options,
2493,Couvercle de distribution,https://www.opisto.fr/fr/auto/pieces-occasion/Couvercle-de-distribution/toutes-marques/page-1,,Opisto one option in Ovoko more options,
2494,Support moteur gauche,https://www.opisto.fr/fr/auto/pieces-occasion/Support-moteur-gauche/toutes-marques/page-1,,325,20
2495,Support moteur droit,https://www.opisto.fr/fr/auto/pieces-occasion/Support-moteur-droit/toutes-marques/page-1,,325,40
2496,Cache culbuteur,https://www.opisto.fr/fr/auto/pieces-occasion/Cache-culbuteur/toutes-marques/page-1,,265,
2497,Support de filtre,https://www.opisto.fr/fr/auto/pieces-occasion/Support-de-filtre/toutes-marques/page-1,,635,
2498,Rechauffeur GO,https://www.opisto.fr/fr/auto/pieces-occasion/Rechauffeur-GO/toutes-marques/page-1,,1413,
